id	name	type	population
0500000US31109	"Lancaster County, NE"	county	289873
0500000US34015	"Gloucester County, NJ"	county	289098
1600000US2758000	"St. Paul, MN"	place	288802
0500000US45083	"Spartanburg County, SC"	county	286789
1600000US3977000	"Toledo, OH"	place	285459
0500000US23005	"Cumberland County, ME"	county	283046
0500000US18057	"Hamilton County, IN"	county	282977
0500000US48303	"Lubbock County, TX"	county	282633
0500000US26065	"Ingham County, MI"	county	281531
0500000US12111	"St. Lucie County, FL"	county	281015
0500000US42049	"Erie County, PA"	county	280518
310M200US21500	Erie Metro Area (PA)	msa	280518
310M200US22900	Fort Smith Metro Area (AR-OK)	msa	280228
0500000US12097	"Osceola County, FL"	county	279837
310M200US20260	Duluth Metro Area (MN-WI)	msa	279719
0500000US12073	"Leon County, FL"	county	278624
0500000US29077	"Greene County, MO"	county	278231
1600000US3451000	"Newark, NJ"	place	277357
0500000US45051	"Horry County, SC"	county	276688
0500000US37063	"Durham County, NC"	county	276494
0500000US34001	"Atlantic County, NJ"	county	274960
310M200US12100	Atlantic City Metro Area (NJ)	msa	274960
0500000US09011	"New London County, CT"	county	274090
310M200US35980	Norwich Metro Area (CT)	msa	274090
1600000US3728000	"Greensboro, NC"	place	273228
310M200US42020	San Luis Obispo Metro Area (CA)	msa	272094
0500000US06079	"San Luis Obispo County, CA"	county	272094
0500000US13051	"Chatham County, GA"	county	271102
0500000US47149	"Rutherford County, TN"	county	269407
0500000US42043	"Dauphin County, PA"	county	269035
0500000US17163	"St. Clair County, IL"	county	268939
0500000US17119	"Madison County, IL"	county	268373
0500000US26139	"Ottawa County, MI"	county	267017
310M200US23540	Gainesville Metro Area (FL)	msa	266765
1600000US4858016	"Plano, TX"	place	266740
0500000US18141	"St. Joseph County, IN"	county	266694
0500000US45063	"Lexington County, SC"	county	266575
310M200US17300	Clarksville Metro Area (TN-KY)	msa	266098
0500000US06087	"Santa Cruz County, CA"	county	264808
310M200US42100	Santa Cruz Metro Area (CA)	msa	264808
0500000US13063	"Clayton County, GA"	county	262455
1600000US3128000	"Lincoln, NE"	place	262365
1600000US3231900	"Henderson, NV"	place	261953
0500000US40027	"Cleveland County, OK"	county	261047
310M200US28420	Kennewick Metro Area (WA)	msa	260827
1600000US3611000	"Buffalo, NY"	place	260568
